country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,uid,bank_account
Uganda,2018,uniqueid_2030,Rural,Yes,5,29,Male,Head of Household,Married/Living together,Primary education,Self employed,Uganda_uniqueid_2030,No
Kenya,2018,uniqueid_1194,Urban,Yes,3,28,Male,Head of Household,Married/Living together,Secondary education,Informally employed,Kenya_uniqueid_1194,Yes
Kenya,2018,uniqueid_46,Rural,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed,Kenya_uniqueid_46,No
Rwanda,2016,uniqueid_8606,Urban,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_8606,No
Tanzania,2017,uniqueid_6016,Urban,Yes,1,44,Female,Head of Household,Married/Living together,No formal education,Informally employed,Tanzania_uniqueid_6016,No
Kenya,2018,uniqueid_977,Urban,No,1,22,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,Kenya_uniqueid_977,No
Rwanda,2016,uniqueid_7184,Rural,Yes,4,29,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_7184,No
Tanzania,2017,uniqueid_2418,Rural,Yes,6,23,Male,Child,Divorced/Seperated,Tertiary education,Self employed,Tanzania_uniqueid_2418,No
Rwanda,2016,uniqueid_719,Rural,Yes,4,32,Female,Spouse,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_719,Yes
Rwanda,2016,uniqueid_7770,Rural,No,1,65,Female,Head of Household,Widowed,No formal education,Dont Know/Refuse to answer,Rwanda_uniqueid_7770,No
Kenya,2018,uniqueid_2964,Urban,Yes,4,24,Female,Spouse,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_2964,No
Kenya,2018,uniqueid_5564,Rural,Yes,4,43,Female,Head of Household,Widowed,Primary education,Informally employed,Kenya_uniqueid_5564,No
Tanzania,2017,uniqueid_1007,Rural,No,4,30,Male,Child,Divorced/Seperated,Primary education,Informally employed,Tanzania_uniqueid_1007,No
Rwanda,2016,uniqueid_3709,Rural,Yes,8,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_3709,No
Tanzania,2017,uniqueid_506,Rural,Yes,2,17,Female,Child,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_506,No
Rwanda,2016,uniqueid_7956,Rural,No,1,75,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_7956,No
Kenya,2018,uniqueid_4516,Urban,Yes,1,40,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government,Kenya_uniqueid_4516,Yes
Rwanda,2016,uniqueid_3514,Urban,Yes,6,21,Male,Parent,Single/Never Married,Primary education,Formally employed Private,Rwanda_uniqueid_3514,Yes
Uganda,2018,uniqueid_206,Rural,Yes,3,19,Female,Spouse,Married/Living together,Primary education,No Income,Uganda_uniqueid_206,No
Kenya,2018,uniqueid_1976,Rural,Yes,4,35,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private,Kenya_uniqueid_1976,Yes
Rwanda,2016,uniqueid_6037,Urban,Yes,5,19,Male,Child,Single/Never Married,Primary education,Remittance Dependent,Rwanda_uniqueid_6037,Yes
Kenya,2018,uniqueid_5122,Urban,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_5122,No
Tanzania,2017,uniqueid_4270,Rural,Yes,5,26,Male,Parent,Single/Never Married,Tertiary education,Informally employed,Tanzania_uniqueid_4270,No
Tanzania,2017,uniqueid_2683,Urban,Yes,1,74,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,Tanzania_uniqueid_2683,No
Rwanda,2016,uniqueid_6536,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6536,No
Uganda,2018,uniqueid_408,Rural,No,1,36,Male,Head of Household,Single/Never Married,Primary education,Other Income,Uganda_uniqueid_408,No
Tanzania,2017,uniqueid_2136,Urban,No,1,55,Female,Head of Household,Widowed,No formal education,Self employed,Tanzania_uniqueid_2136,No
Rwanda,2016,uniqueid_5839,Rural,Yes,7,21,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_5839,No
Rwanda,2016,uniqueid_822,Rural,Yes,4,54,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_822,No
Tanzania,2017,uniqueid_4422,Rural,Yes,5,53,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4422,No
Tanzania,2017,uniqueid_6359,Rural,Yes,2,29,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_6359,No
Rwanda,2016,uniqueid_7801,Rural,Yes,8,40,Female,Spouse,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_7801,No
Rwanda,2016,uniqueid_4965,Rural,Yes,5,35,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_4965,No
Rwanda,2016,uniqueid_1549,Rural,Yes,6,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_1549,No
Tanzania,2017,uniqueid_1343,Rural,No,1,70,Female,Head of Household,Widowed,No formal education,Informally employed,Tanzania_uniqueid_1343,No
Tanzania,2017,uniqueid_4845,Urban,No,4,32,Female,Spouse,Single/Never Married,Primary education,No Income,Tanzania_uniqueid_4845,No
Rwanda,2016,uniqueid_4172,Rural,No,4,33,Male,Head of Household,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_4172,No
Kenya,2018,uniqueid_1752,Urban,Yes,4,56,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing,Kenya_uniqueid_1752,Yes
Tanzania,2017,uniqueid_3311,Urban,Yes,1,23,Female,Head of Household,Married/Living together,No formal education,Self employed,Tanzania_uniqueid_3311,No
Tanzania,2017,uniqueid_740,Urban,Yes,1,50,Male,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_740,No
Kenya,2018,uniqueid_433,Rural,No,6,70,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,Kenya_uniqueid_433,No
Rwanda,2016,uniqueid_5524,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_5524,No
Kenya,2018,uniqueid_5168,Urban,Yes,2,38,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent,Kenya_uniqueid_5168,No
Rwanda,2016,uniqueid_1533,Rural,Yes,4,29,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_1533,No
Rwanda,2016,uniqueid_8050,Rural,Yes,3,75,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_8050,No
Kenya,2018,uniqueid_1833,Rural,Yes,6,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_1833,No
Rwanda,2016,uniqueid_6603,Rural,No,4,17,Male,Child,Single/Never Married,Vocational/Specialised training,Informally employed,Rwanda_uniqueid_6603,No
Rwanda,2016,uniqueid_3565,Rural,Yes,4,23,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,Rwanda_uniqueid_3565,No
Tanzania,2017,uniqueid_5122,Urban,Yes,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5122,No
Tanzania,2017,uniqueid_2453,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_2453,No
Rwanda,2016,uniqueid_4197,Rural,Yes,4,53,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_4197,No
Kenya,2018,uniqueid_38,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_38,No
Rwanda,2016,uniqueid_2701,Rural,Yes,1,58,Female,Head of Household,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_2701,No
Rwanda,2016,uniqueid_8168,Rural,Yes,6,30,Male,Other relative,Single/Never Married,No formal education,Informally employed,Rwanda_uniqueid_8168,No
Rwanda,2016,uniqueid_136,Urban,Yes,5,27,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent,Rwanda_uniqueid_136,No
Kenya,2018,uniqueid_3989,Rural,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private,Kenya_uniqueid_3989,No
Kenya,2018,uniqueid_4594,Rural,Yes,2,31,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,Kenya_uniqueid_4594,No
Kenya,2018,uniqueid_714,Rural,Yes,3,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_714,No
Kenya,2018,uniqueid_560,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_560,No
Uganda,2018,uniqueid_1870,Rural,Yes,7,16,Female,Other relative,Single/Never Married,Primary education,Self employed,Uganda_uniqueid_1870,No
Rwanda,2016,uniqueid_7187,Rural,Yes,5,35,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,Rwanda_uniqueid_7187,No
Rwanda,2016,uniqueid_7308,Rural,Yes,7,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_7308,No
Tanzania,2017,uniqueid_2670,Urban,Yes,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_2670,No
Kenya,2018,uniqueid_2336,Rural,No,6,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent,Kenya_uniqueid_2336,No
Rwanda,2016,uniqueid_7024,Rural,Yes,3,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_7024,No
Uganda,2018,uniqueid_1246,Rural,No,3,27,Female,Spouse,Married/Living together,Primary education,Other Income,Uganda_uniqueid_1246,No
Rwanda,2016,uniqueid_6545,Rural,Yes,2,26,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_6545,No
Uganda,2018,uniqueid_311,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Other Income,Uganda_uniqueid_311,No
Rwanda,2016,uniqueid_7675,Rural,Yes,5,43,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_7675,No
Rwanda,2016,uniqueid_2764,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_2764,No
Tanzania,2017,uniqueid_4633,Rural,Yes,2,24,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private,Tanzania_uniqueid_4633,No
Tanzania,2017,uniqueid_5157,Urban,Yes,3,45,Male,Head of Household,Single/Never Married,No formal education,Informally employed,Tanzania_uniqueid_5157,No
Rwanda,2016,uniqueid_3006,Rural,Yes,4,17,Female,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_3006,No
Tanzania,2017,uniqueid_671,Urban,No,1,70,Female,Head of Household,Married/Living together,No formal education,Self employed,Tanzania_uniqueid_671,No
Rwanda,2016,uniqueid_7025,Rural,No,2,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_7025,No
Tanzania,2017,uniqueid_3852,Urban,Yes,1,60,Female,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_3852,No
Rwanda,2016,uniqueid_2692,Rural,Yes,2,34,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_2692,No
Tanzania,2017,uniqueid_4273,Urban,No,3,83,Male,Child,Widowed,No formal education,No Income,Tanzania_uniqueid_4273,No
Uganda,2018,uniqueid_1282,Rural,No,1,60,Female,Spouse,Married/Living together,Primary education,Other Income,Uganda_uniqueid_1282,No
Rwanda,2016,uniqueid_4370,Rural,Yes,4,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_4370,No
Rwanda,2016,uniqueid_8174,Rural,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_8174,No
Rwanda,2016,uniqueid_6605,Rural,Yes,4,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6605,No
Rwanda,2016,uniqueid_6290,Rural,No,3,20,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_6290,No
Kenya,2018,uniqueid_2507,Urban,Yes,5,35,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,Kenya_uniqueid_2507,No
Rwanda,2016,uniqueid_2263,Rural,No,4,72,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Rwanda_uniqueid_2263,No
Rwanda,2016,uniqueid_1365,Rural,Yes,9,44,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_1365,Yes
Rwanda,2016,uniqueid_6361,Rural,Yes,4,25,Female,Child,Single/Never Married,Secondary education,Other Income,Rwanda_uniqueid_6361,No
Uganda,2018,uniqueid_675,Rural,No,5,30,Male,Head of Household,Married/Living together,Primary education,Self employed,Uganda_uniqueid_675,No
Rwanda,2016,uniqueid_2364,Rural,Yes,4,30,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_2364,No
Tanzania,2017,uniqueid_23,Urban,No,1,33,Female,Head of Household,Divorced/Seperated,No formal education,Self employed,Tanzania_uniqueid_23,No
Kenya,2018,uniqueid_2671,Urban,Yes,4,35,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_2671,No
Rwanda,2016,uniqueid_7812,Rural,Yes,5,21,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_7812,No
Kenya,2018,uniqueid_3748,Urban,Yes,2,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Kenya_uniqueid_3748,Yes
Rwanda,2016,uniqueid_5533,Rural,Yes,7,63,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_5533,No
Kenya,2018,uniqueid_1598,Urban,Yes,3,20,Female,Child,Single/Never Married,Secondary education,Informally employed,Kenya_uniqueid_1598,No
Tanzania,2017,uniqueid_3704,Urban,No,2,33,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3704,No
Rwanda,2016,uniqueid_7318,Rural,No,2,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_7318,No
Kenya,2018,uniqueid_4491,Urban,Yes,1,29,Male,Head of Household,Married/Living together,Primary education,Formally employed Private,Kenya_uniqueid_4491,No
Uganda,2018,uniqueid_875,Rural,Yes,2,20,Female,Head of Household,Married/Living together,Primary education,Other Income,Uganda_uniqueid_875,No
Rwanda,2016,uniqueid_7871,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_7871,No
Rwanda,2016,uniqueid_3305,Rural,Yes,2,27,Male,Child,Divorced/Seperated,Primary education,Informally employed,Rwanda_uniqueid_3305,No
Uganda,2018,uniqueid_1598,Urban,Yes,7,48,Female,Head of Household,Married/Living together,Secondary education,Other Income,Uganda_uniqueid_1598,No
Kenya,2018,uniqueid_6008,Rural,Yes,7,20,Female,Child,Single/Never Married,Secondary education,Self employed,Kenya_uniqueid_6008,No
Tanzania,2017,uniqueid_5375,Rural,Yes,1,27,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private,Tanzania_uniqueid_5375,No
Kenya,2018,uniqueid_4303,Rural,Yes,1,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Kenya_uniqueid_4303,No
Kenya,2018,uniqueid_3007,Urban,No,3,18,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,Kenya_uniqueid_3007,No
Tanzania,2017,uniqueid_6214,Urban,Yes,3,55,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,Tanzania_uniqueid_6214,No
Rwanda,2016,uniqueid_2215,Rural,Yes,4,30,Male,Child,Single/Never Married,No formal education,Farming and Fishing,Rwanda_uniqueid_2215,No
Tanzania,2017,uniqueid_4410,Urban,Yes,3,17,Female,Child,Divorced/Seperated,Primary education,Informally employed,Tanzania_uniqueid_4410,No
Rwanda,2016,uniqueid_7218,Rural,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_7218,No
Kenya,2018,uniqueid_1691,Urban,Yes,2,35,Male,Head of Household,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_1691,Yes
Tanzania,2017,uniqueid_123,Urban,Yes,2,51,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_123,No
Kenya,2018,uniqueid_626,Rural,No,7,52,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government,Kenya_uniqueid_626,Yes
Rwanda,2016,uniqueid_1456,Rural,No,6,70,Male,Head of Household,Married/Living together,Primary education,Other Income,Rwanda_uniqueid_1456,No
Kenya,2018,uniqueid_5831,Rural,No,7,45,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_5831,No
Kenya,2018,uniqueid_1742,Urban,Yes,1,60,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_1742,No
Kenya,2018,uniqueid_1560,Rural,Yes,4,33,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,Kenya_uniqueid_1560,No
Rwanda,2016,uniqueid_7246,Urban,Yes,3,18,Male,Child,Single/Never Married,Secondary education,Formally employed Government,Rwanda_uniqueid_7246,No
Tanzania,2017,uniqueid_157,Rural,No,1,50,Male,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_157,No
Rwanda,2016,uniqueid_7461,Rural,Yes,7,32,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_7461,No
Uganda,2018,uniqueid_165,Rural,Yes,4,90,Female,Head of Household,Widowed,No formal education,Self employed,Uganda_uniqueid_165,No
Kenya,2018,uniqueid_2830,Urban,Yes,5,30,Female,Head of Household,Married/Living together,No formal education,Informally employed,Kenya_uniqueid_2830,No
Tanzania,2017,uniqueid_2983,Urban,Yes,1,56,Female,Head of Household,Widowed,No formal education,Government Dependent,Tanzania_uniqueid_2983,No
Uganda,2018,uniqueid_1892,Rural,No,3,60,Female,Other relative,Widowed,Primary education,Other Income,Uganda_uniqueid_1892,No
Rwanda,2016,uniqueid_8720,Urban,Yes,4,41,Female,Head of Household,Widowed,Primary education,Informally employed,Rwanda_uniqueid_8720,No
Tanzania,2017,uniqueid_86,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_86,No
Tanzania,2017,uniqueid_6400,Urban,Yes,1,43,Female,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_6400,No
Tanzania,2017,uniqueid_6207,Urban,Yes,4,34,Female,Parent,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_6207,No
Tanzania,2017,uniqueid_6386,Urban,Yes,3,20,Female,Child,Divorced/Seperated,Tertiary education,Remittance Dependent,Tanzania_uniqueid_6386,No
Rwanda,2016,uniqueid_5811,Rural,Yes,2,33,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_5811,No
Rwanda,2016,uniqueid_4380,Rural,Yes,3,85,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Rwanda_uniqueid_4380,No
Rwanda,2016,uniqueid_6494,Rural,No,3,61,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_6494,No
Tanzania,2017,uniqueid_2586,Urban,Yes,2,51,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_2586,No
Rwanda,2016,uniqueid_7869,Rural,Yes,6,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_7869,No
Rwanda,2016,uniqueid_1872,Rural,Yes,3,29,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_1872,No
Rwanda,2016,uniqueid_7465,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7465,No
Rwanda,2016,uniqueid_1960,Rural,Yes,2,23,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_1960,No
Kenya,2018,uniqueid_3414,Urban,Yes,3,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed,Kenya_uniqueid_3414,Yes
Tanzania,2017,uniqueid_2943,Rural,Yes,4,21,Female,Other non-relatives,Divorced/Seperated,Tertiary education,No Income,Tanzania_uniqueid_2943,No
Rwanda,2016,uniqueid_8036,Rural,Yes,4,44,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_8036,No
Tanzania,2017,uniqueid_2544,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_2544,No
Kenya,2018,uniqueid_907,Rural,Yes,6,52,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_907,Yes
Rwanda,2016,uniqueid_3161,Rural,No,3,27,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed,Rwanda_uniqueid_3161,No
Rwanda,2016,uniqueid_5818,Rural,Yes,6,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_5818,No
Tanzania,2017,uniqueid_6368,Urban,No,7,16,Male,Parent,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_6368,No
Kenya,2018,uniqueid_761,Rural,Yes,1,72,Male,Head of Household,Widowed,Primary education,Farming and Fishing,Kenya_uniqueid_761,No
Kenya,2018,uniqueid_3119,Urban,Yes,8,37,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing,Kenya_uniqueid_3119,No
Kenya,2018,uniqueid_987,Urban,No,6,18,Female,Child,Single/Never Married,Primary education,Remittance Dependent,Kenya_uniqueid_987,No
Rwanda,2016,uniqueid_6547,Rural,Yes,4,31,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_6547,No
Tanzania,2017,uniqueid_2752,Rural,Yes,3,50,Female,Spouse,Single/Never Married,Secondary education,Self employed,Tanzania_uniqueid_2752,No
Rwanda,2016,uniqueid_1885,Rural,Yes,3,30,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_1885,No
Kenya,2018,uniqueid_325,Rural,Yes,2,68,Male,Head of Household,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_325,No
Tanzania,2017,uniqueid_2438,Urban,No,4,34,Female,Spouse,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_2438,No
Rwanda,2016,uniqueid_8270,Rural,Yes,3,22,Female,Spouse,Married/Living together,Primary education,Remittance Dependent,Rwanda_uniqueid_8270,No
Rwanda,2016,uniqueid_8513,Rural,No,7,36,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_8513,No
Tanzania,2017,uniqueid_5820,Urban,Yes,2,71,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent,Tanzania_uniqueid_5820,No
Rwanda,2016,uniqueid_4178,Urban,Yes,3,27,Male,Head of Household,Married/Living together,Primary education,Other Income,Rwanda_uniqueid_4178,Yes
Kenya,2018,uniqueid_296,Rural,Yes,7,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_296,No
Rwanda,2016,uniqueid_8697,Rural,Yes,4,37,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,Rwanda_uniqueid_8697,No
Tanzania,2017,uniqueid_675,Rural,No,2,22,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_675,No
Rwanda,2016,uniqueid_7726,Rural,Yes,6,32,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_7726,No
Rwanda,2016,uniqueid_5668,Rural,Yes,5,23,Female,Child,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_5668,No
Tanzania,2017,uniqueid_139,Rural,Yes,4,19,Female,Parent,Divorced/Seperated,Primary education,Formally employed Private,Tanzania_uniqueid_139,No
Kenya,2018,uniqueid_1786,Rural,No,8,43,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Kenya_uniqueid_1786,No
Kenya,2018,uniqueid_4383,Rural,Yes,1,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government,Kenya_uniqueid_4383,Yes
Kenya,2018,uniqueid_2259,Rural,Yes,7,37,Female,Spouse,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_2259,No
Kenya,2018,uniqueid_5319,Urban,Yes,4,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Government,Kenya_uniqueid_5319,No
Kenya,2018,uniqueid_5855,Urban,Yes,1,23,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent,Kenya_uniqueid_5855,No
Tanzania,2017,uniqueid_3602,Urban,No,1,54,Female,Head of Household,Married/Living together,Primary education,Self employed,Tanzania_uniqueid_3602,No
Rwanda,2016,uniqueid_3409,Urban,Yes,6,58,Female,Spouse,Married/Living together,Primary education,Other Income,Rwanda_uniqueid_3409,No
Tanzania,2017,uniqueid_3008,Urban,No,2,35,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3008,No
Rwanda,2016,uniqueid_3487,Rural,Yes,5,46,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_3487,No
Tanzania,2017,uniqueid_2625,Rural,No,1,75,Female,Head of Household,Widowed,Primary education,Self employed,Tanzania_uniqueid_2625,No
Rwanda,2016,uniqueid_3837,Urban,Yes,6,41,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_3837,No
Uganda,2018,uniqueid_19,Urban,Yes,4,20,Male,Other relative,Single/Never Married,Secondary education,Other Income,Uganda_uniqueid_19,No
Kenya,2018,uniqueid_5734,Rural,Yes,8,46,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_5734,No
Kenya,2018,uniqueid_5770,Urban,No,2,34,Male,Head of Household,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_5770,No
Rwanda,2016,uniqueid_6579,Rural,Yes,9,36,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_6579,Yes
Uganda,2018,uniqueid_2052,Rural,Yes,3,30,Female,Head of Household,Widowed,Primary education,Other Income,Uganda_uniqueid_2052,No
Tanzania,2017,uniqueid_4954,Urban,No,2,30,Female,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4954,No
Rwanda,2016,uniqueid_7358,Urban,Yes,5,28,Female,Parent,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_7358,No
Rwanda,2016,uniqueid_2674,Rural,Yes,5,36,Female,Head of Household,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_2674,No
Tanzania,2017,uniqueid_4586,Urban,No,7,28,Female,Parent,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4586,No
Rwanda,2016,uniqueid_2395,Rural,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_2395,Yes
Rwanda,2016,uniqueid_1919,Rural,Yes,6,31,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_1919,No
Rwanda,2016,uniqueid_7029,Rural,Yes,2,21,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing,Rwanda_uniqueid_7029,No
Tanzania,2017,uniqueid_5772,Rural,Yes,2,36,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5772,No
Kenya,2018,uniqueid_3575,Rural,Yes,3,24,Male,Child,Single/Never Married,Vocational/Specialised training,Farming and Fishing,Kenya_uniqueid_3575,Yes
